Exp,Video,Window,Type,Algo,Time,interIntervalTimeDP,interIntervalTimeDP_GT100,AvgTimeBWDPK,AvgTimeBWDPK_GT100,DThroughput,DTTime,DTotal_Packets,DTotal_Packets_GT100,STD_Less,STD_GT,EMA,DEMA,CUSUM,10P,20P,30P,40P,50P,60P,70P,80P,90P,10T,20T,30T,40T,50T,60T,70T,80T,90T
1,Tears,1,4g,bba,33,0.3780488967895508,0.378049,0.03150407473246256,0.0756098,40418.052082045746,15280.0,13,6,100.72465250027808,0.4714045207910317,1.461242085340935,4.633281376361848,3.9980790615081787,52.0,52.0,52.0,52.0,64.0,255.0,255.4,256.0,256.0,9616.854011975984,14735.779890560374,15761.974126251253,16220.190771723634,18708.26774530777,21696.360115714666,25900.573744638623,28374.08989231822,33413.934552212886
1,Tears,1,4g,bba,34,0.5432860851287842,0.303297,0.04527384042739868,0.0606594,27918.992249552048,15168.0,13,6,101.36593734799608,0.4714045207910317,1.8246005419077456,5.622949590682983,4.993930816650391,52.0,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.8,6747.932003424727,10938.597459484448,12828.033184525975,15772.769570065551,16531.47697364621,19627.440537376555,22015.08993261262,25800.940606262284,27106.043143735682
1,Tears,1,4g,bba,35,0.4324979782104492,0.432498,0.04324979782104492,0.0864996,33442.930900735824,14464.0,11,6,100.43475740931406,0.0,3.4227086515849066,4.665527760982513,4.222017526626587,52.0,52.0,52.0,64.0,256.0,256.0,256.0,256.0,256.0,5988.519416543501,9837.24614322545,11454.43425200103,14594.06115347012,16961.46911891372,19315.668507743703,22430.692211668153,24024.169978601276,27885.582747645098
1,Tears,1,4g,bba,36,0.4324979782104492,0,0.0,0,961.854207322048,416.0,1,0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,5988.519416543501,9837.24614322545,11454.43425200103,14594.06115347012,16961.46911891372,19315.668507743703,22430.692211668153,24024.169978601276,27885.582747645098
1,Tears,1,4g,bba,37,0.057060956954956055,0.057061,0.0010374719446355645,0.001542189189189189189189189189,2508615.4813877014,143144.0,56,38,507.7936867001706,574.6329028098633,0.021937925106476536,15.884802238941203,1.0450859069824219,52.0,52.0,56.0,255.0,256.0,256.0,256.0,256.0,256.0,1642986.8813795408,2609879.9334138604,2634901.0966961267,2675727.965419826,2708254.6240299908,2788385.5410272055,2822978.4736340223,2845404.4893022655,2926123.983588025
1,Tears,1,4g,bba,38,0.7175729274749756,0.711860,0.0512552091053554,0.1186433333333333333333333333,37359.26896564098,26808.0,15,7,353.22699028622753,442.9964297087437,0.07881690115836852,6.248017511367799,5.391636371612549,52.0,52.0,52.0,52.0,60.0,194.60000000000002,254.0,254.0,255.2,33747.30430627198,34472.57558369485,35283.48808246516,40309.42879989337,43415.38456803113,46530.499516511896,51532.953155970055,54240.21015765,126898.42898015775
1,Tears,1,4g,bba,39,0.0037479400634765625,0.003748,0.0004164377848307292,0.000937,3321291.106361323,12448.0,10,5,101.25729603342171,0.4,0.00020498315167015194,0.3783198308944705,0.018504619598388672,52.0,52.0,52.0,59.2,160.0,256.4,257.0,257.0,257.0,2442309.094157906,2565497.3032662105,2689435.943104422,2797833.2120945808,2898273.6513125994,2935717.776281047,3056880.578914308,3391694.1760177603,146191266.77355888
1,Tears,1,4g,bba,40,0.12481093406677246,0.003338,0.013867881562974717,0.0008345,98773.3974765757,12328.0,10,5,102.10137119549374,0.7483314773547882,0.0044324365969935775,0.4992671370506291,0.1406416893005371,52.0,52.0,52.0,52.0,153.5,255.4,256.0,256.2,257.0,2010602.0185069179,2597454.1139052203,2716966.4881500336,2822055.39702168,2957583.5062857145,3059044.9779083836,3124436.961819896,3180262.764121816,3740592.544420064
1,Tears,1,4g,bba,41,0.4480888843536377,0.410316,0.04480888843536377,0.0820632,31975.79877632526,14328.0,11,6,101.16307103952886,0.3726779962499649,3.901913356831243,4.581374788284303,4.13189172744751,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.0,255.0,9490.503509941187,10795.469947612331,14481.189965188703,16577.420455601397,19465.043206818424,22351.697395215986,24442.14034462212,28115.858096081854,29127.611938126436
1,Tears,1,4g,bba,42,0.4480888843536377,0,0.0,0,4570.521768140295,2048.0,1,1,0.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,9490.503509941187,10795.469947612331,14481.189965188703,16577.420455601397,19465.043206818424,22351.697395215986,24442.14034462212,28115.858096081854,29127.611938126436
